name_ar,governant_ar,governant_capital,name_en,governant_en
مسقط,مسقط,Yes,Muscat,Muscat
مطرح,مسقط,No,Muttrah,Muscat
العامرات,مسقط,No,Al Amerat,Muscat
بوشر,مسقط,No,Bawshar ,Muscat
السيب,مسقط,No,Al Seeb,Muscat
قريات,مسقط,No,Quriyat,Muscat
صلالة,ظفار,Yes,Salalah,Dhofar
طاقة,ظفار,No,Taqah,Dhofar
مرباط,ظفار,No,Mirbat,Dhofar
رخيوت,ظفار,No,Rakhyout,Dhofar
ثمريت,ظفار,No,Thamrait,Dhofar
ضلكوت,ظفار,No,Dhalkout,Dhofar
المزيونة,ظفار,No,Al Mazyona,Dhofar
مقشن,ظفار,No,Maqshan,Dhofar
شليم وجزر الحلانيات,ظفار,No,Shalim and the Hallaniyat Islands,Dhofar
سدح,ظفار,No,Sadah,Dhofar
خصب,مسندم,Yes,Khasab,Musandam
دبا,مسندم,No,Dibba,Musandam
بخا,مسندم,No,Bukha,Musandam
مدحا,مسندم,No,Madha,Musandam
البريمي,البريمي,Yes,Al Buraimi,Al Buraimi
محضة,البريمي,No,Mahdah,Al Buraimi
السنينة,البريمي,No,Al Sinainah,Al Buraimi
نزوى,الداخلية,Yes,Nizwa,Al Dakhiliyya
بهلاء,الداخلية,No,Bahla,Al Dakhiliyya
منح,الداخلية,No,Manah,Al Dakhiliyya
الحمراء,الداخلية,No,Al Hamra,Al Dakhiliyya
أدم,الداخلية,No,Adam,Al Dakhiliyya
ازكي,الداخلية,No,Izki,Al Dakhiliyya
سمائل,الداخلية,No,Samail,Al Dakhiliyya
بدبد,الداخلية,No,Bidbid,Al Dakhiliyya
صحار,شمال الباطنة,Yes,Sohar,Al Batinah North
شناص,شمال الباطنة,No,Shinas,Al Batinah North
لوى,شمال الباطنة,No,Liwa,Al Batinah North
صحم,شمال الباطنة,No,Saham,Al Batinah North
الخابورة,شمال الباطنة,No,Al Khaburah,Al Batinah North
السويق,شمال الباطنة,No,Al Suwayq,Al Batinah North
الرستاق,جنوب الباطنة,Yes,Al Rustaq,Al Batinah South
العوابي,جنوب الباطنة,No,Al Awabi,Al Batinah South
نخل,جنوب الباطنة,No,Nakhal,Al Batinah South
وادي المعاول,جنوب الباطنة,No,Wadi Al Maawil,Al Batinah South
بركاء,جنوب الباطنة,No,Barka,Al Batinah South
المصنعة,جنوب الباطنة,No,Al Musannah,Al Batinah South
صور,جنوب الشرقية,Yes,Sur,Al Sharqiyah South
الكامل والوافي,جنوب الشرقية,No,Al Kamil Wal Wafi,Al Sharqiyah South
جعلان بني بو حسن,جنوب الشرقية,No,Jalan Bani Bu Hasan,Al Sharqiyah South
جعلان بني بو علي,جنوب الشرقية,No,Jalan Bani Bu Ali,Al Sharqiyah South
مصيرة,جنوب الشرقية,No,Masirah,Al Sharqiyah South
إبراء,شمال الشرقية,Yes,Ibra,Al Sharqiyah North
المضيبي,شمال الشرقية,No,Al Mudhaibi,Al Sharqiyah North
بدية,شمال الشرقية,No,Bidiyah,Al Sharqiyah North
القابل,شمال الشرقية,No,Al Qabil,Al Sharqiyah North
وادي بني خالد,شمال الشرقية,No,Wadi Bani Khalid,Al Sharqiyah North
دماء والطائيين,شمال الشرقية,No,Dima Wa Tayeen,Al Sharqiyah North
عبري,الظاهرة,Yes,Ibri,Al Dhahirah
ينقل,الظاهرة,No,Yanqul,Al Dhahirah
ضنك,الظاهرة,No,Dhank,Al Dhahirah
هيما,الوسطى,Yes,Haima,Al Wusta
محوت,الوسطى,No,Mahout,Al Wusta
الدقم,الوسطى,No,Duqm,Al Wusta
الجازر,الوسطى,No,Al Jazer,Al Wusta